year,position,artist,title
1990,1,Elton John,Sacrifice / Healing Hands
1990,2,Adamski,Killer
1990,3,The Righteous Brothers,Unchained Melody
1990,4,Sinead O'Connor,Nothing Compares 2 U
1990,5,Maria McKee,Show Me Heaven
1990,6,Beats International featuring Lindy Layton,Dub Be Good To Me
1990,7,Madonna,Vogue
1990,8,Vanilla Ice,Ice Ice Baby
1990,9,Snap!,The Power
1990,10,Partners In Kryme,Turtle Power
1990,11,Englandneworder,World In Motion
1990,12,Bombalurina,Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini
1990,13,The Beautiful South,A Little Time
1990,14,The Adventures Of Stevie V,Dirty Cash
1990,15,The Steve Miller Band,The Joker
1990,16,MC Hammer,U Can't Touch This
1990,17,Alannah Myles,Black Velvet
1990,18,The B-52s,Love Shack
1990,19,Roxette,It Must Have Been Love
1990,20,Paula Abdul With The Wild Pair,Opposites Attract
1990,21,Luciano Pavarotti,Nessun Dorma
1990,22,DNA featuring Suzanne Vega,Tom's Diner
1990,23,Deee-Lite,Groove Is In The Heart / What Is Love
1990,24,Technotronic featuring Ya Kid K,Get Up (Before The Night Is Over)
1990,25,New Kids On The Block,Hangin' Tough
1990,26,Kylie Minogue,Tears On My Pillow
1990,27,Craig McLachlan & Check 1-2,Mona
1990,28,Kim Appleby,Don't Worry
1990,29,Londonbeat,I've Been Thinking About You
1990,30,Blue Pearl,Naked In The Rain
1990,31,Kylie Minogue,Better The Devil You Know
1990,32,Bobby Vinton,Blue Velvet
1990,33,EMF,Unbelievable
1990,34,UB40,Kingston Town
1990,35,Cliff Richard,Saviour's Day
1990,36,Deacon Blue,Four Bacharach And David Songs (EP)
1990,37,Michael Bolton,How Am I Supposed To Live Without You
1990,38,Mantronix featuring Wondress,Got To Have Your Love
1990,39,New Kids On The Block,Tonight
1990,40,49ers,Touch Me
1990,41,Status Quo,The Anniversary Waltz - Part One
1990,42,Snap!,Oops Up
1990,43,Erasure,Blue Savannah
1990,44,Soup Dragons featuring Junior Reid,I'm Free
1990,45,The KLF featuring The Children Of The Revolution,What Time Is Love?
1990,46,Berlin,Take My Breath Away
1990,47,Happy Mondays,Step On
1990,48,Madonna,Hanky Panky
1990,49,Heart,All I Wanna Do is Make Love To You
1990,50,David A Stewart featuring Candy Dulfer,Lily Was Here
1990,51,Candy Flip,Strawberry Fields Forever
1990,52,Betty Boo,Where Are You Baby?
1990,53,Chad Jackson,Hear The Drummer (Get Wicked)
1990,54,En Vogue,Hold On
1990,55,Wilson Phillips,Hold On
1990,56,Black Box,Fantasy
1990,57,Various Artists,The Brits 1990
1990,58,Betty Boo,Doin' The Do
1990,59,Lonnie Gordon,Happenin' All Over Again
