year,position,artist,title
1960,1,The Everly Brothers,Cathy's Clown
1960,2,The Shadows,Apache
1960,3,Cliff Richard,Please Don't Tease
1960,4,Anthony Newley,Why
1960,5,Shirley Bassey,As Long As He Needs Me
1960,6,Roy Orbison,Only The Lonely
1960,7,Elvis Presley,It's Now Or Never
1960,8,Jimmy Jones,Handy Man
1960,9,Elvis Presley,Mess Of Blues
1960,10,Jimmy Jones,Good Timin'
1960,11,Adam Faith,Poor Me
1960,12,Anthony Newley,Do You Mind?
1960,13,Johnny Preston,Running Bear
1960,14,Eddie Cochran,Three Steps To Heaven
1960,15,Ricky Valance,Tell Laura I Love Her
1960,16,Johnny Kidd & The Pirates,Shakin' All Over
1960,17,Emile Ford & The Checkmates,What Do You Want To Make Those Eyes At Me For?
1960,18,Lonnie Donegan,My Old Man's A Dustman
1960,19,Percy Faith,Theme From 'A Summer Place'
1960,20,Duane Eddy,Because They're Young
1960,21,Connie Francis,Mama / Robot Man
1960,22,Cliff Richard & The Shadows,Voice In The Wilderness
1960,23,Cliff Richard & The Shadows,Fall In Love With You
1960,24,Johnny Preston,Cradle Of Love
1960,25,Johnny & The Hurricanes,Rocking Goose
1960,26,Freddie Cannon,Way Down Yonder In New Orleans
1960,27,The Everly Brothers,When Will I Be Loved
1960,28,Jim Reeves,He'll Have To Go
1960,29,Brenda Lee,Sweet Nothin's
1960,30,Michael Holliday,Starry Eyed
1960,31,Adam Faith,What Do You Want?
1960,32,Adam Faith,Someone Else's Baby
1960,33,Tommy Bruce & The Bruisers,Ain't Misbehavin'
1960,34,Lonnie Donegan,I Wanna Go Home
1960,35,The Drifters,Save The Last Dance For Me
1960,36,Emile Ford & The Checkmates,On A Slow Boat To China
1960,37,Perry Como,Delaware
1960,38,Bob Luman,Let's Think About Living
1960,39,Mr Acker Bilk & His Paramount Jazz Band,Summer Set
1960,40,Craig Douglas,Pretty Blue Eyes
1960,41,Marv Johnson,You Got What It Takes
1960,42,Johnny Burnette,Dreamin'
1960,43,The Everly Brothers,Lucille / So Sad
1960,44,Cliff Richard,Nine Times Out Of Ten
1960,45,Ken Dodd,Love Is Like A Violin
1960,46,Anthony Newley,If She Should Come To You
1960,47,Duane Eddy,Shazam!
1960,48,Elvis Presley,Stuck On You
1960,49,Adam Faith,How About That
1960,50,The Kaye Sisters,Paper Roses
1960,51,Max Bygraves,Fings Ain't Wot They Used T'Be
1960,52,Johnny & The Hurricanes,Beatnik Fly
1960,53,Steve Lawrence,Footsteps
1960,54,Hank Locklin,Please Help Me I'm Falling
1960,55,Connie Francis,Everybody's Somebody's Fool
1960,56,Neil Sedaka,Oh Carol
1960,57,Guy Mitchell,Heartaches By The Number
1960,58,Brenda Lee,I'm Sorry
1960,59,Adam Faith,When Johnny Comes Marching Home / Made You
1960,60,Neil Sedaka,Stairway To Heaven
1960,61,Tommy Steele,Little White Bull
1960,62,Cliff Richard,I Love You
1960,63,Frankie Laine,Rawhide
1960,64,Johnny Mathis,My Love For You
1960,65,Connie Francis,My Heart Has A Mind Of Its Own
1960,66,Bobby Rydell,Wild One
1960,67,Michael Cox,Angela Jones
1960,68,Elmer Bernstein,Staccato's Theme
1960,69,The Shadows,Man Of Mystery / The Stranger
1960,70,Tommy Steele,What A Mouth
1960,71,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
1960,72,Lance Fortune,Be Mine
1960,73,Gary Mills,Look For A Star
1960,74,Jack Scott,What In The World's Come Over You
1960,75,Bobby Darin,La Mer (Beyond The Sea)
1960,76,John Barry Seven,"Walk, Don't Run"
1960,77,The Piltdown Men,MacDonald's Cave
1960,78,Rolf Harris,Tie Me Kangaroo Down Sport
1960,79,Sam Cooke,Chain Gang
1960,80,Peter Sellers & Sophia Loren,Goodness Gracious Me
1960,81,Nina & Frederick,Little Donkey
1960,82,John Barry Seven,Hit And Miss
1960,83,The Ventures,"Walk, Don't Run"
1960,84,The King Brothers,Standing On The Corner
1960,85,Bobby Darin,Clementine
1960,86,Connie Stevens,Sixteen Reasons
1960,87,Anthony Newley,Strawberry Fair
1960,88,Avons,Seven Little Girls Sitting In The Back Seat
1960,89,The Platters,Harbour Lights
1960,90,Johnny Mathis,Misty
1960,91,Johnny & The Hurricanes,Down Yonder
1960,92,Fats Domino,Be My Guest
1960,93,Emile Ford & The Checkmates,Them There Eyes
1960,94,Charlie Drake,Mr Custer
1960,95,Roy Orbison,Blue Angel
1960,96,Craig Douglas,Heart Of A Teenage Girl
1960,97,Frank Sinatra,Nice 'N' Easy
1960,98,Duane Eddy & The Rebels,Bonnie Came Back
1960,99,Adam Faith,Lonely Pup (In A Christmas Shop)
1960,100,Mark Wynter,Image Of A Girl
1961,1,Elvis Presley,Wooden Heart
1961,2,Del Shannon,Runaway
1961,3,Helen Shapiro,You Don't Know
1961,4,John Leyton,Johnny Remember Me
1961,5,Helen Shapiro,Walking Back To Happiness
1961,6,Eden Kane,Well I Ask You
1961,7,The Everly Brothers,Walk Right Back / Ebony Eyes
1961,8,Allisons,Are You Sure
1961,9,Billy Fury,Halfway To Paradise
1961,10,Elvis Presley,Are You Lonesome Tonight?
1961,11,Elvis Presley,Surrender
1961,12,Ricky Nelson,Hello Mary Lou / Travelin' Man
1961,13,Shirley Bassey,Reach For The Stars / Climb Ev'ry Mountain
1961,14,The Everly Brothers,Temptation
1961,15,Elvis Presley,His Latest Flame / Little Sisters
1961,16,Petula Clark,Sailor
1961,17,The Shadows,Frightened City
1961,18,The Temperance Seven,You're Driving Me Crazy
1961,19,The Marcels,Blue Moon
1961,20,Johnny Tillotson,Poetry In Motion
1961,21,Frankie Vaughan,Tower Of Strength
1961,22,Andy Stewart,A Scottish Soldier
1961,23,The Shadows,FBI
1961,24,Clarence 'Frogman' Henry,But I Do
1961,25,The Temperance Seven,Pasadena
1961,26,The Highwaymen,Michael
1961,27,Cliff Richard,Theme For A Dream
1961,28,Helen Shapiro,Don't Treat Me Like A Child
1961,29,Bobby Vee,More Than I Can Say / Staying In
1961,30,The Shadows,Kon-Tiki
1961,31,Shirelles,Will You Love Me Tomorrow?
1961,32,Petula Clark,Romeo
1961,33,Jimmy Dean,Big Bad John
1961,34,Cliff Richard,A Girl Like You
1961,35,Cliff Richard,I Love You
1961,36,Floyd Cramer,On The Rebound
1961,37,Danny Williams,Moon River
1961,38,Duane Eddy,Pepe
1961,39,Matt Monro,Portrait Of My Love
1961,40,Cliff Richard,When The Girl In Your Arms Is The Girl In Your Heart
1961,41,Billy Fury,Jealousy
1961,42,Bobby Vee,Take Good Care Of My Baby
1961,43,Ferrante & Teicher,Theme From 'Exodus'
1961,44,John Leyton,Wild Wind
1961,45,Cleo Laine,You'll Answer To Me
1961,46,Adam Faith,Who Am I? / This Is It
1961,47,Bobby Darin,Lazy River
1961,48,Johnny Burnette,You're Sixteen
1961,49,Johnny Dankworth,African Waltz
1961,50,Shirley Bassey,You'll Never Know
1961,51,Elvis Presley,Wild In The Country / I Feel So Bad
1961,52,Mr Acker Bilk,That's My Home
1961,53,Matt Monro,My Kind Of Girl
1961,54,Cliff Richard,Gee Whiz It's You
1961,55,Karl Denver,Marcheta
1961,56,Roy Orbison,Running Scared
1961,57,Adam Faith,The Time Has Come
1961,58,The Brook Brothers,War Paint
1961,59,Craig Douglas,Time
1961,60,Del Shannon,Hats Off To Larry
1961,61,The Drifters,Save The Last Dance For Me
1961,62,Mr Acker Bilk,Buona Sera
1961,63,The Ramrods,Riders In The Sky
1961,64,The String-A-Longs,Wheels
1961,65,Lonnie Donegan,Have A Drink On Me
1961,66,Clarence 'Frogman' Henry,You Always Hurt The One You Love
1961,67,Joe Loss,Wheels Cha Cha
1961,68,Connie Francis,Where The Boys Are / Baby Roo
1961,69,Anthony Newley,And The Heavens Cried
1961,70,US Bonds,Quarter To Three
1961,71,Lonnie Donegan presents Kenny Ball & His Jazzmen,Samantha
1961,72,Bobby Vee,Rubber Ball
1961,73,Dave Brubeck,Take Five
1961,74,Sam Cooke,Cupid
1961,75,Laurie Johnson Orchestra,Sucu Sucu
1961,76,Tony Orlando,Bless You
1961,77,Neil Sedaka,Calendar Girl
1961,78,Emile Ford & The Checkmates,Counting Teardrops
1961,79,Eddie Cochran,Weekend
1961,80,Connie Francis,Together
1961,81,Buddy Holly,Baby I Don't Care / Valley Of Tears
1961,82,Jerry Lee Lewis,What'd I Say
1961,83,Linda Scott,I've Told Every Little Star
1961,84,Elvis Presley,It's Now Or Never
1961,85,Ray Charles,Hit The Road Jack
1961,86,Karl Denver,Mexicali Rose
1961,87,Bobby Vee,How Many Tears
1961,88,Duane Eddy,Theme From Dixie
1961,89,Kenny Ball & His Jazzmen,Midnight In Moscow
1961,90,Brenda Lee,Let's Jump The Broomstick
1961,91,Lonnie Donegan,Michael Row The Boat / Lumbered
1961,92,Neil Sedaka,Little Devil
1961,93,Eden Kane,Get Lost
1961,94,The Ventures,Perfidia
1961,95,Adam Faith,Don't You Know It?
1961,96,Don Gibson,Sea Of Heartbreak
1961,97,Johnny Burnette,Little Boy Sad
1961,98,Buzz Clifford,Baby Sittin' Boogie
1961,99,Charlie Drake,My Boomerang Won't Come Back
1961,100,Craig Douglas,100 Pounds Of Clay
1962,1,Frank Ifield,I Remember You
1962,2,Mr Acker Bilk,Stranger On The Shore
1962,3,The Shadows,Wonderful Land
1962,4,Cliff Richard,The Young Ones
1962,5,Elvis Presley,Can't Help Falling In Love / Rock-A-Hula Baby
1962,6,The Tornados,Telstar
1962,7,Elvis Presley,Good Luck Charm
1962,8,Chubby Checker,Let's Twist Again
1962,9,Frank Ifield,Lovesick Blues
1962,10,Mike Sarne With Wendy Richard,Come Outside
1962,11,Ray Charles,I Can't Stop Loving You
1962,12,Joe Brown,A Picture Of You
1962,13,Pat Boone,Speedy Gonzales
1962,14,Cliff Richard,Do You Want To Dance / I'm Looking Out The Window
1962,15,Elvis Presley,She's Not You
1962,16,Helen Shapiro,Tell Me What He Said
1962,17,B Bumble & The Stingers,Nut Rocker
1962,18,Chris Montez,Let's Dance
1962,19,Little Eva,The Loco-Motion
1962,20,Bobby Darin,Things
1962,21,Roy Orbison,Dream Baby
1962,22,Del Shannon,Swiss Maid
1962,23,Karl Denver,Wimoweh
1962,24,Ronnie Carroll,Roses Are Red (My Love)
1962,25,Neil Sedaka,Happy Birthday Sweet Sixteen
1962,26,Del Shannon,Hey Little Girl
1962,27,Elvis Presley,Return To Sender
1962,28,Eden Kane,Forget Me Not
1962,29,Brian Hyland,Ginny Come Lately
1962,30,Susan Maughan,Bobby's Girl
1962,31,Tommy Roe,Sheila
1962,32,Leroy Van Dyke,Walk On By
1962,33,Bruce Channel,Hey Baby
1962,34,The Shadows,Guitar Tango
1962,35,Brian Hyland,Sealed With A Kiss
1962,36,Billy Fury,Last Night Was Made For Love
1962,37,Cliff Richard,It'll Be Me
1962,38,Carole King,It Might As Well Rain Until September
1962,39,Mark Wynter,Venus In Blue Jeans
1962,40,Adam Faith,As You Like It
1962,41,Neil Sedaka,Breaking Up Is Hard To Do
1962,42,Marty Robbins,Devil Woman
1962,43,Shirley Bassey,What Now My Love
1962,44,Billy Fury,I'd Never Find Another You
1962,45,The Everly Brothers,Cryin' In The Rain
1962,46,Sandy Nelson,Let There Be Drums
1962,47,Rolf Harris,Sun Arise
1962,48,Nat 'King' Cole,Ramblin' Rose
1962,49,Karl Denver,Never Goodbye
1962,50,Bobby Vee,Run To Him
1962,51,Kenny Ball & His Jazzmen,Midnight In Moscow
1962,52,Sam Cooke,Twistin' The Night Away
1962,53,Matt Monro,"Softly, As I Leave You"
1962,54,Brenda Lee,Speak To Me Pretty
1962,55,Kenny Ball & His Jazzmen,March Of The Siamese Children
1962,56,The Crickets,Don't Ever Change
1962,57,Brenda Lee,Here Comes That Feeling
1962,58,The Four Seasons,Sherry
1962,59,Jimmie Rodgers,English Country Garden
1962,60,Cliff Richard,The Next Time / Bachelor Boy
1962,61,Ketty Lester,Love Letters
1962,62,Duane Eddy,Dance With The Guitar Man
1962,63,Bobby Darin,Multiplication
1962,64,Billy Fury,Once Upon A Dream
1962,65,Danny Williams,Moon River
1962,66,Johnny Keating,Theme From 'Z Cars'
1962,67,Kenny Ball & His Jazzmen,Green Leaves Of Summer
1962,68,Eden Kane,I Don't Know Why
1962,69,Bernard Cribbins,Hole In The Ground
1962,70,Burl Ives,Little Bitty Tear
1962,71,Ray Charles,You Don't Know Me
1962,72,Jimmy Justice,When My Little Girl Is Smiling
1962,73,Danny Williams,Wonderful World Of The Young
1962,74,Nat 'King' Cole With George Shearing,Let There Be Love
1962,75,Adam Faith,Don't That Beat All
1962,76,Helen Shapiro,Little Miss Lonely
1962,77,Bobby Vee,Sharing You
1962,78,Craig Douglas,When My Little Girl Is Smiling
1962,79,Jim Reeves,Adios Amigo
1962,80,Johnnie Spence,Theme From 'Dr Kildare'
1962,81,Jimmy Justice,Ain't That Funny
1962,82,Pat Boone,Johnny Will
1962,83,Danny Williams,Jeannie
1962,84,The Vernons Girls,Lover Please / You Know What I Mean
1962,85,Lonnie Donegan,The Party's Over
1962,86,Louise Cordet,I'm Just A Baby
1962,87,Dion,The Wanderer
1962,88,The Everly Brothers,No One Can Make My Sunshine Smile
1962,89,Bobby Vee,A Forever Kind Of Love
1962,90,Miki & Griff,Little Bitty Tear
1962,91,Jet Harris,Main Title Theme From 'the Man With The Golden Arm'
1962,92,Ken Dodd,Pianissimo
1962,93,Petula Clark,Ya Ya Twist
1962,94,The Tokens,The Lion Sleeps Tonight
1962,95,Craig Douglas,Our Favourite Melodies
1962,96,Chubby Checker,The Twist
1962,97,Duane Eddy,Ballad Of Paladin
1962,98,Ricky Nelson,Young World
1962,99,Lonnie Donegan,Pick A Bale Of Cotton
1962,100,Dave Brubeck,Unsquare Dance
1963,1,The Beatles,She Loves You
1963,2,The Beatles,From Me To You
1963,3,Gerry & The Pacemakers,How Do You Do It?
1963,4,Gerry & The Pacemakers,I Like It
1963,5,Frank Ifield,Confessin'
1963,6,Gerry & The Pacemakers,You'll Never Walk Alone
1963,7,Cliff Richard,Summer Holiday
1963,8,Ned Miller,From A Jack To A King
1963,9,Cliff Richard,The Next Time / Bachelor Boy
1963,10,Brian Poole & The Tremeloes,Do You Love Me?
1963,11,The Searchers,Sweets For My Sweet
1963,12,The Beatles,Please Please Me
1963,13,Billy J Kramer & The Dakotas,Bad To Me
1963,14,Frank Ifield,Wayward Wind
1963,15,Jet Harris & Tony Meehan,Diamonds
1963,16,The Shadows,Atlantis
1963,17,Roy Orbison,In Dreams
1963,18,The Shadows,Foot Tapper
1963,19,Billy J Kramer & The Dakotas,Do You Want To Know A Secret?
1963,20,The Springfields,Island Of Dreams
1963,21,Roy Orbison,Blue Bayou / Mean Woman Blues
1963,22,Ray Charles,Take These Chains From My Heart
1963,23,The Crystals,Then He Kissed Me
1963,24,Andy Williams,Can't Get Used To Losing You
1963,25,Wink Martindale,Deck Of Cards
1963,26,Cliff Richard,It's All In The Game
1963,27,Jet Harris & Tony Meehan,Scarlett O'Hara
1963,28,Elvis Presley,Devil In Disguise
1963,29,The Shadows,Dance On!
1963,30,Billy Fury,Like I've Never Been Gone
1963,31,Trini Lopez,If I Had A Hammer
1963,32,The Beatles,I Want To Hold Your Hand
1963,33,The Crystals,Da Doo Ron Ron
1963,34,Johnny Kidd & The Pirates,I'll Never Get Over You
1963,35,The Bachelors,Charmaine
1963,36,Cascades,Rhythm Of The Rain
1963,37,Freddie & The Dreamers,I'm Telling You Now
1963,38,Freddie & The Dreamers,If You Gotta Make A Fool Of Somebody
1963,39,Buddy Holly,Brown-Eyed Handsome Man
1963,40,Frank Ifield,Nobody's Darlin' But Mine
1963,41,Brian Poole & The Tremeloes,Twist And Shout
1963,42,Joe Brown,That's What Love Will Do
1963,43,Maureen Evans,Like I Do
1963,44,Shirley Bassey,I (Who Have Nothing)
1963,45,Cliff Richard,Lucky Lips
1963,46,Freddie & The Dreamers,You Were Made For Me
1963,47,Cliff Richard,Don't Talk To Him
1963,48,Bobby Vee,The Night Has A Thousand Eyes
1963,49,Billy Fury,When Will You Say I Love You
1963,50,The Searchers,Sugar And Spice
1963,51,Ken Thorne,Theme From 'the Legions Last Patrol'
1963,52,Kathy Kirby,Secret Love
1963,53,Heinz,Just Like Eddie
1963,54,Elvis Presley,Return To Sender
1963,55,Steve Lawrence & Eydie Gorme,I Want To Stay Here
1963,56,The Springfields,Say I Won't Be There
1963,57,Del Shannon,Two Kinds Of Teardrops
1963,58,Jim Reeves,Welcome To My World
1963,59,The Surfaris,Wipe Out
1963,60,Del Shannon,Little Town Flirt
1963,61,Tommy Roe,The Folk Singer
1963,62,The Ronettes,Be My Baby
1963,63,Brenda Lee,All Alone Am I
1963,64,Buddy Holly,Bo Diddley
1963,65,Ronnie Carroll,Say Wonderful Things
1963,66,Caravelles,You Don't Have To Be A Baby To Cry
1963,67,Adam Faith,The First Time
1963,68,Paul & Paula,Hey Paula
1963,69,Frankie Vaughan,Loop-De-Loop
1963,70,Brenda Lee,Losing You
1963,71,Chuck Berry,Let It Rock / Memphis Tennessee
1963,72,Los Indios Tabajaras,Maria Elena
1963,73,The Tornados,Globetrotter
1963,74,Kyu Sakamoto,Sukiyaki
1963,75,Billy Fury,In Summer
1963,76,Jet Harris & Tony Meehan,Applejack
1963,77,Karl Denver,Still
1963,78,Mike Berry & The Outlaws,Don't You Think It's Time
1963,79,The Fourmost,Hello Little Girl
1963,80,Paul & Paula,Young Lovers
1963,81,Dave Clark Five,Glad All Over
1963,82,Lesley Gore,It's My Party
1963,83,Billy J Kramer & The Dakotas,I'll Keep You Satisfied
1963,84,The Shadows,Shindig
1963,85,Roy Orbison,Falling
1963,86,Bobby Rydell,Forget Him
1963,87,Kenny Lynch,You Can Never Stop Me Loving You
1963,88,Kenny Ball & His Jazzmen,Sukiyaki
1963,89,The Hollies,Searchin'
1963,90,Kathy Kirby,Dance On
1963,91,Billie Davis,Tell Him
1963,92,Buddy Holly,Wishing
1963,93,The Four Seasons,Walk Like A Man
1963,94,Frank Ifield,Lovesick Blues
1963,95,Dusty Springfield,I Only Want To Be With You
1963,96,Tommy Roe,Everybody
1963,97,Duane Eddy,Dance With The Guitar Man
1963,98,The Rooftop Singers,Walk Right In
1963,99,Mark Wynter,Go Away Little Girl
1963,100,Peter Paul & Mary,Blowing In The Wind
1964,1,Jim Reeves,I Love You Because
1964,2,Jim Reeves,I Won't Forget You
1964,3,Roy Orbison,It's Over
1964,4,Roy Orbison,Oh Pretty Woman
1964,5,The Beatles,A Hard Day's Night
1964,6,Cilla Black,You're My World
1964,7,Cilla Black,Anyone Who Had A Heart
1964,8,The Searchers,Needles And Pins
1964,9,The Honeycombs,Have I The Right?
1964,10,Manfred Mann,Do Wah Diddy Diddy
1964,11,Herman's Hermits,I'm Into Something Good
1964,12,Dave Clark Five,Glad All Over
1964,13,The Bachelors,Diane
1964,14,The Rolling Stones,It's All Over Now
1964,15,The Beatles,Can't Buy Me Love
1964,16,Billy J Kramer & The Dakotas,Little Children
1964,17,The Bachelors,I Believe
1964,18,The Beatles,I Want To Hold Your Hand
1964,19,Julie Rogers,The Wedding
1964,20,Peter & Gordon,World Without Love
1964,21,The Four Pennies,Juliet
1964,22,Millie,My Boy Lollipop
1964,23,Brian Poole & The Tremeloes,"Someone, Someone"
1964,24,The Swinging Blue Jeans,Hippy Hippy Shake
1964,25,Sandie Shaw,(There's) Always Something There To Remind Me
1964,26,The Kinks,You Really Got Me
1964,27,The Searchers,Don't Throw Your Love Away
1964,28,The Supremes,Baby Love
1964,29,Gerry & The Pacemakers,I'm The One
1964,30,The Supremes,Where Did Our Love Go
1964,31,Dave Clark Five,Bits And Pieces
1964,32,The Bachelors,I Wouldn't Trade You For The World
1964,33,The Four Seasons,Rag Doll
1964,34,The Beatles,I Feel Fine
1964,35,The Rolling Stones,Not Fade Away
1964,36,The Animals,House Of The Rising Sun
1964,37,The Hollies,Just One Look
1964,38,Matt Monro,Walk Away
1964,39,The Merseybeats,I Think Of You
1964,40,The Barron Knights,Call Up The Groups
1964,41,Petula Clark,Downtown
1964,42,Gene Pitney,I'm Gonna Be Strong
1964,43,Gene Pitney,Twenty Four Hours From Tulsa
1964,44,PJ Proby,Hold Me
1964,45,Dusty Springfield,I Just Don't Know What To Do With Myself
1964,46,Brenda Lee,As Usual
1964,47,The Kinks,All Day And All Of The Night
1964,48,Dusty Springfield,I Only Want To Be With You
1964,49,The Searchers,When You Walk In The Room
1964,50,Cliff Richard,Constantly
1964,51,Val Doonican,Walk Tall
