Position,Title,Artist,Status,Last Week,Peak,Weeks on Chart
1,ESPRESSO,SABRINA CARPENTER,,1,1,5
2,I HAD SOME HELP,POST MALONE/MORGAN WALLEN,New,,2,1
3,MILLION DOLLAR BABY,TOMMY RICHMAN,,7,3,3
4,A BAR SONG (TIPSY),SHABOOZEY,,3,3,5
5,TOO SWEET,HOZIER,,2,1,8
6,NOT LIKE US,KENDRICK LAMAR,,10,6,2
7,BEAUTIFUL THINGS,BENSON BOONE,,4,1,17
8,FORTNIGHT,TAYLOR SWIFT FT POST MALONE,,5,1,4
9,I LIKE THE WAY YOU KISS ME,ARTEMAS,,6,3,8
10,AUSTIN,DASHA,,9,7,12
11,BELONG TOGETHER,MARK AMBOR,,13,11,9
12,STARGAZING,MYLES SMITH,New,,12,1
13,I CAN DO IT WITH A BROKEN HEART,TAYLOR SWIFT,,12,8,3
14,SCARED TO START,MICHAEL MARCAGI,,18,9,18
15,DOWN BAD,TAYLOR SWIFT,,15,4,4
16,SLOW IT DOWN,BENSON BOONE,,23,16,8
17,LOSE CONTROL,TEDDY SWIMS,,8,2,28
18,THE CODE,NEMO,New,,18,1
19,STICK SEASON,NOAH KAHAN,,19,1,33
20,GOOD LUCK BABE,CHAPPELL ROAN,,22,18,6
21,HAPPIER,BLESSED MADONNA/DOUGLAS,,24,17,12
22,EUPHORIA,KENDRICK LAMAR,,11,11,3
23,I DON'T WANNA WAIT,DAVID GUETTA & ONEREPUBLIC,,26,20,6
24,ILLUSION,DUA LIPA,,16,9,5
25,LIKE THAT,FUTURE & METRO BOOMIN/KENDRICK,,20,6,8
26,BIRDS IN THE SKY,NEWERA,,25,18,15
27,TELL UR GIRLFRIEND,LAY BANKZ,,21,15,6
28,THESE WORDS,BADGER & NATASHA BEDINGFIELD,,27,22,6
29,UNWRITTEN,NATASHA BEDINGFIELD,,29,6,36
30,GREEN & GOLD,RUDIMENTAL/SKEPSIS/PLANK/RIKO,,33,29,12
31,HELL N BACK,BAKAR,,31,20,24
32,SATURN,SZA,,37,15,12
33,AS IT WAS,HARRY STYLES,,41,1,91
34,FAMILY MATTERS,DRAKE,,17,17,2
35,WHATEVER SHE WANTS,BRYSON TILLER,,32,16,13
36,RIM TIM TAGI DIM,BABY LASAGNA,New,,36,1
37,EUROPAPA,JOOST,New,,37,1
38,TEXAS HOLD 'EM,BEYONCE,,36,1,14
39,VALERIE,MARK RONSON FT AMY WINEHOUSE,,39,2,55
40,HOME,GOOD NEIGHBOURS,,38,26,16
41,360,CHARLI XCX,New,,41,1
42,FORGET ABOUT US,PERRIE,,34,10,5
43,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),ARIANA GRANDE,,14,2,10
44,PRADA,CASSO/RAYE/D-BLOCK EUROPE,,43,2,40
45,LOVE ME JEJE,TEMS,,52,45,3
46,LOVERS IN A PAST LIFE,CALVIN HARRIS & RAG'N'BONE MAN,,44,13,13
47,THE SOUND OF SILENCE,DISTURBED,,42,29,15
48,DIZZY,OLLY ALEXANDER,Re-entry,,42,2
49,MEET THE GRAHAMS,KENDRICK LAMAR,,28,28,2
50,WE AIN'T HERE FOR LONG,NATHAN DAWE,,50,45,15
51,HIND'S HALL,MACKLEMORE,New,,51,1
52,OBSESSED,OLIVIA RODRIGO,,48,10,8
53,FEIN,TRAVIS SCOTT FT PLAYBOI CARTI,,56,13,20
54,END OF BEGINNING,DJO,,46,4,14
55,ONE OF WUN,GUNNA,New,,55,1
56,JUMP,TYLA/GUNNA/SKILLIBENG,,51,38,8
57,BACK TO BLACK,AMY WINEHOUSE,,45,8,62
58,THE DOOR,TEDDY SWIMS,,68,58,4
59,EVERGREEN,RICHY MITCH & THE COAL MINERS,,53,36,33
60,PUSH UPS,DRAKE,,30,14,4
61,TEARS DRY ON THEIR OWN,AMY WINEHOUSE,,49,16,32
62,PEDRO,JAXOMY/A ROMERO/R CARRA,,57,57,4
63,CRY NO MORE,HEADIE ONE/STORMZY/TAY KEITH,,47,33,4
64,ON ONE TONIGHT,GUNNA,New,,64,1
65,MALICIOUS INTENTIONS,POZER,,58,41,4
66,ALIBI,ELLA HENDERSON FT RUDIMENTAL,,55,10,18
67,DOOMSDAY BLUE,BAMBIE THUG,New,,67,1
68,TAKE A BITE,BEABADOOBEE,New,,68,1
69,GATA ONLY,FLOYYMENOR & CRIS MJ,,62,58,5
70,MILES ON IT,KANE BROWN & MARSHMELLO,New,,70,1
71,SOLO,MYLES SMITH,,73,69,8
72,GREEDY,TATE MCRAE,,60,3,35
73,NEVER BE LONELY,JAX JONES/ZOE WEES,,59,41,10
74,NEVER LOSE ME,FLO MILLI,,54,15,20
75,ADDICTED,ZERB/CHAINSMOKERS/INK,,75,75,3
76,THESE WALLS,DUA LIPA,,40,40,2
77,OUTSIDE OF LOVE,BECKY HILL,,66,54,7
78,MR BRIGHTSIDE,KILLERS,,65,10,410
79,THANK YOU (NOT SO BAD),DIMITRI VEGAS & LIKE MIKE,,64,50,17
80,COME BACK TO ME,RM,New,,80,1
81,SMALLTOWN BOY,BRONSKI BEAT,Re-entry,,3,19
82,RIGHT HERE,BECKY HILL,,71,71,2
83,BACK ON 74,JUNGLE,,35,19,20
84,ASKING,SONNY FODERA/MK/DOUGLAS,,79,7,41
85,TYPE S**T,FUTURE/METRO BOOMIN/TRAVIS,,70,18,8
86,EVERYWHERE,FLEETWOOD MAC,,76,4,71
87,FOR LIFE,KYGO/ZAK ABEL/NILE RODGERS,,77,75,3
88,FEEL IT,D4VD,,69,53,6
89,JOGA BONITO,AJ TRACEY,,80,69,4
90,WHATEVER,KYGO & AVA MAX,,74,15,17
91,BEFORE YOU LEAVE ME,ALEX WARREN,,83,80,12
92,RISK,GRACIE ABRAMS,,67,67,2
93,WOULD YOU (GO TO BED WITH ME),CAMPBELL & ALCEMIST,,86,29,35
94,TRAINING SEASON,DUA LIPA,,61,4,13
95,WATER,TYLA,,85,4,36
