chart_date,position,title,artist,last_week,peak_position,weeks_on_chart
2025-08-01,Number1,NewPRETTY ON THE INTERNET,K'S,New,1,1
2025-08-01,Number2,TIME FLIES - 1994-2009,OASIS,3,1,621
2025-08-01,Number3,WHAT'S THE STORY MORNING GLORY,OASIS,4,1,708
2025-08-01,Number4,YOU'LL BE ALRIGHT KID (CHAPTER 1),ALEX WARREN,1,1,32
2025-08-01,Number5,NewFIND EL DORADO,PAUL WELLER,New,5,1
2025-08-01,Number6,DEFINITELY MAYBE,OASIS,5,1,604
2025-08-01,Number7,50 YEARS - DON'T STOP,FLEETWOOD MAC,7,4,350
2025-08-01,Number8,+ - = DIVIDE X - TOUR COLLECTION,ED SHEERAN,8,1,44
2025-08-01,Number9,NewTHE REVENGE OF ALICE COOPER,ALICE COOPER,New,9,1
2025-08-01,Number10,SHORT N' SWEET,SABRINA CARPENTER,9,1,49
2025-08-01,Number11,NewTIME MACHINE,TIM MINCHIN,New,11,1
2025-08-01,Number12,THE HIGHLIGHTS,WEEKND,11,2,234
2025-08-01,Number13,SWAG,JUSTIN BIEBER,6,4,3
2025-08-01,Number14,THE ULTIMATE COLLECTION,BLACK SABBATH,22,14,7
2025-08-01,Number15,HIT ME HARD AND SOFT,BILLIE EILISH,10,1,63
2025-08-01,Number16,DON'T TAP THE GLASS,TYLER THE CREATOR,2,2,2
2025-08-01,Number17,RUMOURS,FLEETWOOD MAC,13,1,1108
2025-08-01,Number18,DIAMONDS,ELTON JOHN,14,1,403
2025-08-01,Number19,THE ESSENTIAL,MICHAEL JACKSON,20,1,217
2025-08-01,Number20,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,17,4,68
2025-08-01,Number21,GOLD - GREATEST HITS,ABBA,19,1,1212
2025-08-01,Number22,STICK SEASON,NOAH KAHAN,16,1,112
2025-08-01,Number23,NewVERONICA ELECTRONICA,MADONNA,New,23,1
2025-08-01,Number24,I'VE TRIED EVERYTHING BUT THERAPY,TEDDY SWIMS,21,13,5
2025-08-01,Number25,BRAT,CHARLI XCX,18,1,60
2025-08-01,Number26,SOS,SZA,15,2,138
2025-08-01,Number27,AM,ARCTIC MONKEYS,25,1,620
2025-08-01,Number28,NewALFREDO 2,FREDDIE GIBBS & ALCHEMIST,New,28,1
2025-08-01,Number29,GUTS,OLIVIA RODRIGO,23,1,99
2025-08-01,Number30,CURTAIN CALL - THE HITS,EMINEM,27,1,681
2025-08-01,Number31,SOUR,OLIVIA RODRIGO,24,1,219
2025-08-01,Number32,MEMOIRS OF A MADMAN,OZZY OSBOURNE,60,23,5
2025-08-01,Number33,THE RISE AND FALL OF A MIDWEST PRINCESS,CHAPPELL ROAN,30,1,68
2025-08-01,Number34,NewA PERFECT CIRCLE,GARY NUMAN,New,34,1
2025-08-01,Number35,THE DIAMOND COLLECTION,POST MALONE,40,14,119
2025-08-01,Number36,SO CLOSE TO WHAT,TATE MCRAE,31,2,23
2025-08-01,Number37,PIANO MAN - THE VERY BEST OF,BILLY JOEL,33,7,315
2025-08-01,Number38,PARANOID,BLACK SABBATH,52,1,29
2025-08-01,Number39,GREATEST HITS,QUEEN,34,1,1165
